"","GRP","LOCUS","N_ALLELES","EVENNESS","Ho","Hs","Ht","Fis","SHANNON_IDX","SIMPSON_IDX","STODD_TAYLOR_IDX"
"569","adults","WF517",28,0.858911918986095,0.9178,0.954,0.954,0.0379,3.08539456392959,0.947175830362169,18.9307282415631
"570","adults","WF196",20,0.813178667378164,0.9028,0.9213,0.9213,0.0201,2.65276973418877,0.914737654320988,11.7285067873303
"571","adults","WF223",24,0.874337943781603,0.913,0.9475,0.9475,0.0363,2.94600294095677,0.940348666246587,16.7640845070423
"572","adults","WF421",18,0.737282918471628,0.9524,0.8962,0.8962,-0.0627,2.47823834988947,0.889518770471151,9.05131128848347
"573","adults","A441",14,0.804722443634545,0.8889,0.8728,0.8728,-0.0185,2.20036038877128,0.865961199294533,7.46052631578947
"574","adults","PAM21",10,0.794543815368264,0.75,0.8008,0.8008,0.0635,1.76941286130053,0.794550173010381,4.86736842105263
"575","adults","PSY087",5,0.565286658814555,0.5205,0.4404,0.4404,-0.1821,0.866287188776961,0.437887033214487,1.77900183608746
"576","adults","PSY022",10,0.669777069677236,0.6508,0.5805,0.5805,-0.1211,1.10927544198984,0.576467624086672,2.36109458655562
"577","adults","WF12",7,0.782152477332472,0.6812,0.6444,0.6444,-0.0571,1.18566026414737,0.639991598403697,2.77771295215869
"578","adults","WF32",16,0.696478727718989,0.6622,0.8301,0.8301,0.2023,2.04001518522143,0.823319941563185,5.65994832041344
"579","2017","J42",19,0.553847886388712,0.8889,0.8466,0.8466,-0.0499,2.34376808813344,0.839163237311385,6.21748400852878
"580","2017","WF22",29,0.81032367542621,0.963,0.9539,0.9539,-0.0095,3.10265377310807,0.945130315500686,18.225
"581","2017","PAM27",12,0.694878674543327,0.8043,0.8319,0.8319,0.0331,2.03737522274256,0.822542533081285,5.63515312916112
"582","2017","PAM79",34,0.726005321803261,0.8367,0.9575,0.9575,0.1261,3.23313702449416,0.946480633069554,18.6848249027237
"583","2017","WF16",17,0.648709467949336,0.8889,0.8445,0.8445,-0.0525,2.18849784180525,0.837105624142661,6.13894736842105
"584","2017","WF33",28,0.815890561534225,0.9592,0.9522,0.9522,-0.0074,3.04922368998478,0.942523948354852,17.3985507246377
"585","2017","WF3",13,0.53018957055575,0.7647,0.759,0.759,-0.0075,1.9032990783927,0.751633986928105,4.02631578947368
"586","2017","WF517",21,0.83986853636593,0.9565,0.9372,0.9372,-0.0206,2.78311747180107,0.927221172022684,13.7402597402597
"587","2017","WF196",15,0.833675686905669,0.88,0.9094,0.9094,0.0323,2.46772360656148,0.9,10
"588","2017","WF223",24,0.798146158833931,0.9412,0.9402,0.9402,-0.001,2.88491134103916,0.930988081507113,14.4902506963788
"589","2017","WF421",18,0.739950907654066,0.9535,0.9084,0.9084,-0.0497,2.56033295439732,0.898323418063818,9.83510638297873
"590","2017","A441",10,0.882617032393139,0.7692,0.8709,0.8709,0.1167,2.085368550217,0.861501479289941,7.22029372496662
"591","2017","PAM21",9,0.819599773736254,0.7429,0.8231,0.8231,0.0975,1.82590591459394,0.810204081632653,5.26881720430108
"592","2017","PSY087",5,0.565693377905894,0.5283,0.4331,0.4331,-0.2199,0.847087835071466,0.429868280526878,1.75398064314705
"593","2017","PSY022",7,0.69260999595386,0.7826,0.6868,0.6868,-0.1396,1.38225678123141,0.673913043478261,3.06666666666667
"594","2017","WF12",3,0.949996795435468,0.6346,0.6486,0.6486,0.0215,1.06101538609331,0.64219674556213,2.79483204134367
"595","2017","WF32",16,0.689801910489625,0.6,0.8657,0.8657,0.3069,2.25202638942544,0.8544,6.86813186813187
"596","ALL","J42",26,0.551473115668409,0.8687,0.8614,0.8597,-0.0085,2.52816775069356,0.864107819113388,7.35877512212714
"597","ALL","WF22",42,0.846395208788123,0.954,0.9615,0.9614,0.0078,3.35389623756178,0.95896991580781,24.3723604201216
