,Year,Week,Date,value,catcorr,Bay
232,2016,11,2016-07-28,72,1.130583272,Shinnecock
233,2016,11,2016-07-28,60,1.312908509,Shinnecock
234,2016,11,2016-07-28,69,1.165412156,Shinnecock
235,2016,12,2016-08-04,75,1.102189954,Shinnecock
236,2016,12,2016-08-04,88,1.033091806,Shinnecock
237,2016,12,2016-08-04,74,1.110988139,Shinnecock
238,2016,12,2016-08-04,59,1.333117473,Shinnecock
239,2016,13,2016-08-11,47,1.60231878,Shinnecock
240,2016,14,2016-08-18,69,1.165412156,Shinnecock
241,2016,14,2016-08-18,83,1.051532818,Shinnecock
242,2016,14,2016-08-18,66,1.207315414,Shinnecock
243,2016,14,2016-08-18,84,1.047197521,Shinnecock
244,2016,2,2016-05-26,31,1.869227139,Shinnecock
245,2016,2,2016-05-26,30,1.879380895,Shinnecock
246,2016,2,2016-05-26,32,1.858356313,Shinnecock
247,2016,3,2016-06-01,42,1.706267717,Shinnecock
248,2016,3,2016-06-01,41,1.72507236,Shinnecock
249,2016,3,2016-06-01,34,1.834357323,Shinnecock
250,2016,4,2016-06-10,42,1.706267717,Shinnecock
251,2016,4,2016-06-10,48,1.579981685,Shinnecock
252,2016,4,2016-06-10,37,1.792410193,Shinnecock
253,2016,4,2016-06-10,42,1.706267717,Shinnecock
254,2016,5,2016-06-17,32,1.858356313,Shinnecock
255,2016,5,2016-06-17,47,1.60231878,Shinnecock
256,2016,5,2016-06-17,43,1.686732572,Shinnecock
257,2016,5,2016-06-17,45,1.645659032,Shinnecock
258,2016,5,2016-06-17,50,1.534401164,Shinnecock
259,2016,5,2016-06-17,33,1.846741152,Shinnecock
260,2016,5,2016-06-17,56,1.397281537,Shinnecock
261,2016,5,2016-06-17,46,1.624237594,Shinnecock
262,2016,6,2016-06-24,56,1.397281537,Shinnecock
263,2016,6,2016-06-24,29,1.888847084,Shinnecock
264,2016,6,2016-06-24,60,1.312908509,Shinnecock
265,2016,6,2016-06-24,55,1.419611821,Shinnecock
266,2016,6,2016-06-24,50,1.534401164,Shinnecock
267,2016,6,2016-06-24,64,1.239338748,Shinnecock
268,2016,6,2016-06-24,50,1.534401164,Shinnecock
269,2016,7,2016-07-01,37,1.792410193,Shinnecock
270,2016,7,2016-07-01,58,1.353959245,Shinnecock
271,2016,7,2016-07-01,63,1.256570527,Shinnecock
272,2016,7,2016-07-01,45,1.645659032,Shinnecock
273,2016,7,2016-07-01,61,1.293386184,Shinnecock
274,2016,7,2016-07-01,52,1.48823882,Shinnecock
275,2016,7,2016-07-01,51,1.511344179,Shinnecock
276,2016,7,2016-07-01,49,1.557312077,Shinnecock
277,2016,8,2016-07-08,29,1.888847084,Shinnecock
278,2016,8,2016-07-08,63,1.256570527,Shinnecock
279,2016,9,2016-07-13,51,1.511344179,Shinnecock
280,2016,9,2016-07-13,77,1.086431913,Shinnecock
281,2016,9,2016-07-13,55,1.419611821,Shinnecock
282,2016,9,2016-07-13,46,1.624237594,Shinnecock
283,2016,9,2016-07-13,74,1.110988139,Shinnecock
284,2016,9,2016-07-13,36,1.807205438,Shinnecock
285,2016,10,2016-07-21,75,1.102189954,Shinnecock
286,2016,10,2016-07-21,50,1.534401164,Shinnecock
287,2016,11,2016-07-28,55,1.419611821,Shinnecock
288,2016,11,2016-07-28,66,1.207315414,Shinnecock
289,2016,11,2016-07-28,90,1.02766066,Shinnecock
290,2016,11,2016-07-28,77,1.086431913,Shinnecock
291,2016,11,2016-07-28,65,1.222917267,Shinnecock
292,2016,12,2016-08-04,84,1.047197521,Shinnecock
293,2016,12,2016-08-04,77,1.086431913,Shinnecock
294,2016,12,2016-08-04,82,1.056242824,Shinnecock
295,2016,12,2016-08-04,80,1.066899923,Shinnecock
296,2016,14,2016-08-18,51,1.511344179,Shinnecock
297,2016,14,2016-08-18,68,1.178570912,Shinnecock
298,2016,14,2016-08-18,87,1.036180632,Shinnecock
299,2016,14,2016-08-18,68,1.178570912,Shinnecock
300,2016,2,2016-05-26,29,1.888847084,Shinnecock
301,2016,2,2016-05-26,31,1.869227139,Shinnecock
302,2016,2,2016-05-26,35,1.821184158,Shinnecock
303,2016,3,2016-06-01,40,1.743111015,Shinnecock
304,2016,3,2016-06-01,39,1.760357288,Shinnecock
305,2016,4,2016-06-10,49,1.557312077,Shinnecock
306,2016,4,2016-06-10,41,1.72507236,Shinnecock
307,2016,4,2016-06-10,56,1.397281537,Shinnecock
308,2016,4,2016-06-10,44,1.666511679,Shinnecock
309,2016,5,2016-06-17,52,1.48823882,Shinnecock
310,2016,5,2016-06-17,42,1.706267717,Shinnecock
311,2016,5,2016-06-17,26,1.913436218,Shinnecock
312,2016,5,2016-06-17,44,1.666511679,Shinnecock
313,2016,5,2016-06-17,38,1.776793505,Shinnecock
314,2016,5,2016-06-17,45,1.645659032,Shinnecock
315,2016,6,2016-06-24,56,1.397281537,Shinnecock
316,2016,6,2016-06-24,32,1.858356313,Shinnecock
317,2016,6,2016-06-24,52,1.48823882,Shinnecock
318,2016,6,2016-06-24,55,1.419611821,Shinnecock
319,2016,6,2016-06-24,52,1.48823882,Shinnecock
320,2016,6,2016-06-24,58,1.353959245,Shinnecock
321,2016,6,2016-06-24,55,1.419611821,Shinnecock
322,2016,7,2016-07-01,49,1.557312077,Shinnecock
323,2016,7,2016-07-01,45,1.645659032,Shinnecock
324,2016,7,2016-07-01,50,1.534401164,Shinnecock
325,2016,7,2016-07-01,36,1.807205438,Shinnecock
326,2016,8,2016-07-08,47,1.60231878,Shinnecock
327,2016,8,2016-07-08,33,1.846741152,Shinnecock
328,2016,9,2016-07-13,59,1.333117473,Shinnecock
329,2016,9,2016-07-13,51,1.511344179,Shinnecock
330,2016,9,2016-07-13,72,1.130583272,Shinnecock
331,2016,9,2016-07-13,38,1.776793505,Shinnecock
332,2016,9,2016-07-13,45,1.645659032,Shinnecock
333,2016,9,2016-07-13,67,1.192534974,Shinnecock
334,2016,10,2016-07-21,74,1.110988139,Shinnecock
335,2016,10,2016-07-21,51,1.511344179,Shinnecock
