index,Location,,J42,WF22,PAM27,PAM79,WF16,WF33,WF3,WF517,WF196,WF223,WF421,A441,PAM21,Psy087,Psy022,WF12,WF32
244,MtMig,2,133148,231263,184188,156180,238250,332348,0,281299,0,253283,280288,184186,219219,156161,235243,260264,217283
245,MtMig,3,117143,179243,166178,172182,238256,0,0,245251,159223,277279,272292,188194,215217,163163,235235,0,215215
246,MtMig,2,135147,251259,174208,190214,230238,0,0,245291,163191,261281,268280,182186,211217,155161,243243,256260,213213
247,MtMig,0,111111,195251,166178,174192,234240,340352,168168,251295,175199,265281,268296,180188,211215,155161,235243,260260,215217
248,MtMig,0,117117,227255,160174,182182,272286,276336,168168,247283,199247,269275,248260,182182,211215,156161,243243,260264,213221
249,MtMig,1,125131,231247,174174,180194,238264,316352,168170,245245,0,269277,280288,182190,217217,156161,243243,256260,215221
250,MtMig,2,117131,227263,166180,188220,236236,276320,168170,279281,171215,0,280280,178190,211219,161161,235243,260264,0
251,MtMig,1,117139,235255,160178,190206,236240,252296,168172,221263,183191,255293,292292,0,211217,161161,235243,256260,215215
252,MtMig,1,137143,243247,180184,182210,236260,300332,172174,251263,187251,269283,280308,0,211215,161161,235243,260260,217221
253,MtMig,0,115131,159215,160160,182208,234250,280348,168168,287289,191247,267285,260292,182232,217217,155161,235243,256264,249291
254,MtMig,1,117119,183207,176178,192192,236238,332360,166178,255283,199199,263285,296312,188200,0,161161,235243,260264,207217
255,MtMig,1,117121,219243,174178,158168,236238,268300,168170,269271,159195,285297,268276,178200,0,161161,235243,256260,217221
256,MtMig,1,109117,227255,178178,150178,230242,280320,168174,271289,159159,267289,296300,188188,209217,161161,0,256260,207215
257,MtMig,3,131139,251255,178178,208216,236258,276300,0,243267,159187,257273,256292,0,0,155161,243243,256264,213215
258,MtMig,1,117135,183195,178178,158170,240254,0,162168,243247,175199,257269,296300,180188,209217,161161,235243,260260,215251
259,MtMig,2,117131,195195,160160,180182,236236,280340,168172,251275,167191,241271,0,178184,211211,161161,0,260260,215215
260,MtMig,1,111137,211247,174178,172198,238272,272284,168168,247263,159191,259259,288304,188188,211219,161161,0,256260,215249
261,MtMig,2,121139,247255,174184,154166,238250,300320,168174,251289,223243,261267,0,180190,207215,161161,0,256260,213217
262,MtMig,1,115119,207223,166208,180186,238240,272348,168174,243267,159195,285285,0,182182,219219,161161,235243,256256,215215
263,MtMig,1,145147,203263,160174,158180,236286,300320,172178,255271,171195,255257,288296,0,207217,161161,235235,256264,215217
264,MtMig,0,117143,207267,176178,148178,236250,272316,168172,247283,167187,255263,280292,178186,213219,161161,235243,256260,213221
265,MtMig,2,125131,255267,160160,182204,236236,252300,168170,251289,183183,0,296304,180188,211213,161161,0,280288,213215
266,MtMig,1,121121,235239,174180,150206,240260,332360,156166,289301,159183,255269,284320,190196,211211,161161,0,256260,181215
267,MtMig,2,109117,191235,160166,166204,236280,328364,170170,279291,187187,275281,288296,0,217219,161161,0,256260,215215
268,MtMig,1,111125,203247,164166,186200,238258,272328,168174,275281,159183,259267,0,188196,215215,161163,235243,260260,215215
269,MtMig,1,117129,183263,178180,182184,236238,276332,166168,283289,183215,261265,276280,180188,215217,161161,0,256260,215283
270,MtMig,1,125135,219259,176182,154188,236236,328340,168168,243247,167211,255275,276284,180190,0,161161,235243,256260,221251
271,MtMig,1,117147,207247,166174,186188,238240,288316,168168,219287,183199,245271,280296,182190,211211,156161,0,264264,215217
272,pop,0,,,,,,,,,,,,,,,,,
273,MtRes,0,109121,219263,178180,178188,236238,276316,166168,281281,159195,255261,292300,182196,211211,161161,235243,260260,221223
274,MtRes,1,119119,203219,160174,0,230236,304336,170172,271275,159191,261265,280284,178190,215219,156161,243243,260268,215247
275,MtRes,1,111117,223263,166174,214216,238260,280304,0,243243,171199,265281,288292,182190,211211,161161,235243,256264,215221
276,MtRes,1,109135,239267,160174,182184,230238,280344,170178,245277,167195,261269,260284,188190,213215,156161,243243,0,215221
277,MtRes,2,117129,191211,174176,182220,228236,320360,168186,247299,199243,0,288292,0,219221,161163,235315,260264,217249
278,MtRes,1,135139,215247,160162,158220,0,280284,164174,221263,159167,269271,280320,178182,211215,157161,227235,256260,215251
279,MtRes,2,133139,183251,174178,0,236240,284316,168168,261283,187195,255277,280288,0,215217,156161,243267,260264,215285
280,MtRes,1,119143,175191,174176,182190,234260,264360,162178,243287,171195,0,288296,186226,211211,156161,235235,256256,283283
281,MtRes,2,111125,179215,188192,192210,244286,272364,164176,251299,183187,0,280284,182226,211219,0,243243,260260,181217
282,MtRes,3,111117,223231,174182,130180,236240,300352,0,243271,171199,265281,0,0,213217,161161,243335,256264,213221
283,MtRes,0,111125,219223,174178,142148,236238,252280,170176,275283,159195,257265,292324,180182,211219,161161,243243,256260,215215
284,MtRes,2,127137,183251,160188,180180,236260,320320,166168,247279,171199,257257,284292,180188,0,161161,235243,256260,0
285,,,,,,,,,,,,,,,,,,,
