"","iter","comparisons","p.vals"
"136","20","Ht and GRP and LOCUS","0.019316927308736"
"137","20","Fis and GRP and LOCUS","0.617991879881754"
"138","20","SHANNON_IDX and GRP and LOCUS","0.00402772058716538"
"139","20","value and variable and LOCUS","0.0492968977018185"
"140","20","hobs and Bay and locus","0.336659875125563"
"141","21","Hs and GRP and LOCUS","0.0915781944436709"
"142","21","EVENNESS and GRP and LOCUS","0.0649600963068597"
"143","21","Ht and GRP and LOCUS","0.0915781944436709"
"144","21","Fis and GRP and LOCUS","0.754144995736277"
"145","21","SHANNON_IDX and GRP and LOCUS","0.00393959649111514"
"146","21","value and variable and LOCUS","0.0492968977018185"
"147","21","hobs and Bay and locus","0.336659875125563"
"148","22","Hs and GRP and LOCUS","0.0676612645530827"
"149","22","EVENNESS and GRP and LOCUS","0.184701729813587"
"150","22","Ht and GRP and LOCUS","0.0676612645530827"
"151","22","Fis and GRP and LOCUS","0.533044448153968"
"152","22","SHANNON_IDX and GRP and LOCUS","0.0795666168147359"
"153","22","value and variable and LOCUS","0.0492968977018185"
"154","22","hobs and Bay and locus","0.336659875125563"
"155","23","Hs and GRP and LOCUS","0.103206721726129"
"156","23","EVENNESS and GRP and LOCUS","0.477878344488724"
"157","23","Ht and GRP and LOCUS","0.103206721726129"
"158","23","Fis and GRP and LOCUS","0.886260168370955"
"159","23","SHANNON_IDX and GRP and LOCUS","0.144030568376783"
"160","23","value and variable and LOCUS","0.0492968977018185"
"161","23","hobs and Bay and locus","0.336659875125563"
"162","24","Hs and GRP and LOCUS","0.109524607815211"
"163","24","EVENNESS and GRP and LOCUS","0.348517425097324"
"164","24","Ht and GRP and LOCUS","0.109524607815211"
"165","24","Fis and GRP and LOCUS","0.799778861248532"
"166","24","SHANNON_IDX and GRP and LOCUS","0.171201256709138"
"167","24","value and variable and LOCUS","0.0492968977018185"
"168","24","hobs and Bay and locus","0.336659875125563"
"169","25","Hs and GRP and LOCUS","0.11918925526037"
"170","25","EVENNESS and GRP and LOCUS","0.325129951470739"
"171","25","Ht and GRP and LOCUS","0.11918925526037"
"172","25","Fis and GRP and LOCUS","0.549493168584713"
"173","25","SHANNON_IDX and GRP and LOCUS","0.101177397134286"
"174","25","value and variable and LOCUS","0.0492968977018185"
"175","25","hobs and Bay and locus","0.336659875125563"
"176","26","Hs and GRP and LOCUS","0.0676612645530827"
"177","26","EVENNESS and GRP and LOCUS","0.0356663390700792"
"178","26","Ht and GRP and LOCUS","0.0676612645530827"
"179","26","Fis and GRP and LOCUS","0.58323302328023"
"180","26","SHANNON_IDX and GRP and LOCUS","0.0295221069262744"
"181","26","value and variable and LOCUS","0.0492968977018185"
"182","26","hobs and Bay and locus","0.336659875125563"
"183","27","Hs and GRP and LOCUS","0.0430316532079032"
"184","27","EVENNESS and GRP and LOCUS","0.141268081882402"
"185","27","Ht and GRP and LOCUS","0.0430316532079032"
"186","27","Fis and GRP and LOCUS","0.379614927584244"
"187","27","SHANNON_IDX and GRP and LOCUS","0.0518430794796662"
"188","27","value and variable and LOCUS","0.0492968977018185"
"189","27","hobs and Bay and locus","0.336659875125563"
"190","28","Hs and GRP and LOCUS","0.0405334249797832"
"191","28","EVENNESS and GRP and LOCUS","0.0764173738576298"
"192","28","Ht and GRP and LOCUS","0.0405334249797832"
"193","28","Fis and GRP and LOCUS","0.680769054164965"
"194","28","SHANNON_IDX and GRP and LOCUS","0.0128385914515192"
"195","28","value and variable and LOCUS","0.0492968977018185"
"196","28","hobs and Bay and locus","0.336659875125563"
"197","29","Hs and GRP and LOCUS","0.0828379097643501"
"198","29","EVENNESS and GRP and LOCUS","0.354570106759468"
"199","29","Ht and GRP and LOCUS","0.0828379097643501"
"200","29","Fis and GRP and LOCUS","0.412814903922792"
"201","29","SHANNON_IDX and GRP and LOCUS","0.107379704909595"
"202","29","value and variable and LOCUS","0.0492968977018185"
"203","29","hobs and Bay and locus","0.336659875125563"
"204","30","Hs and GRP and LOCUS","0.0387764673498511"
"205","30","EVENNESS and GRP and LOCUS","0.0915781944436709"
"206","30","Ht and GRP and LOCUS","0.0387764673498511"
"207","30","Fis and GRP and LOCUS","0.925950848036516"
"208","30","SHANNON_IDX and GRP and LOCUS","0.0529223551566082"
"209","30","value and variable and LOCUS","0.0492968977018185"
"210","30","hobs and Bay and locus","0.336659875125563"
"211","31","Hs and GRP and LOCUS","0.0636481899886552"
"212","31","EVENNESS and GRP and LOCUS","0.0233914865531657"
"213","31","Ht and GRP and LOCUS","0.0636481899886552"
"214","31","Fis and GRP and LOCUS","0.617991879881754"
"215","31","SHANNON_IDX and GRP and LOCUS","0.0828379097643501"
"216","31","value and variable and LOCUS","0.0492968977018185"
"217","31","hobs and Bay and locus","0.336659875125563"
"218","32","Hs and GRP and LOCUS","0.097230024092102"
"219","32","EVENNESS and GRP and LOCUS","0.386086014541581"
"220","32","Ht and GRP and LOCUS","0.097230024092102"
"221","32","Fis and GRP and LOCUS","0.58323302328023"
"222","32","SHANNON_IDX and GRP and LOCUS","0.00585893870795103"
"223","32","value and variable and LOCUS","0.0492968977018185"
"224","32","hobs and Bay and locus","0.336659875125563"
"225","33","Hs and GRP and LOCUS","0.0649600963068597"
"226","33","EVENNESS and GRP and LOCUS","0.105273951437281"
"227","33","Ht and GRP and LOCUS","0.0649600963068597"
"228","33","Fis and GRP and LOCUS","0.600494040036273"
"229","33","SHANNON_IDX and GRP and LOCUS","0.138554206358717"
"230","33","value and variable and LOCUS","0.0492968977018185"
"231","33","hobs and Bay and locus","0.336659875125563"
"232","34","Hs and GRP and LOCUS","0.0562902801699481"
"233","34","EVENNESS and GRP and LOCUS","0.0518430794796662"
"234","34","Ht and GRP and LOCUS","0.0562902801699481"
"235","34","Fis and GRP and LOCUS","0.826641467296776"
"236","34","SHANNON_IDX and GRP and LOCUS","0.0953107737881653"
"237","34","value and variable and LOCUS","0.0492968977018185"
"238","34","hobs and Bay and locus","0.336659875125563"
"239","35","Hs and GRP and LOCUS","0.013405024872311"
"240","35","EVENNESS and GRP and LOCUS","0.248660397137074"
"241","35","Ht and GRP and LOCUS","0.013405024872311"
"242","35","Fis and GRP and LOCUS","0.455439844666619"
"243","35","SHANNON_IDX and GRP and LOCUS","0.0177269770552128"
"244","35","value and variable and LOCUS","0.0492968977018185"
"245","35","hobs and Bay and locus","0.336659875125563"
"246","36","Hs and GRP and LOCUS","0.0598617972613097"
"247","36","EVENNESS and GRP and LOCUS","0.138554206358717"
"248","36","Ht and GRP and LOCUS","0.0598617972613097"
"249","36","Fis and GRP and LOCUS","0.287297495183646"
"250","36","SHANNON_IDX and GRP and LOCUS","0.0636481899886552"
"251","36","value and variable and LOCUS","0.0492968977018185"
"252","36","hobs and Bay and locus","0.336659875125563"
"253","37","Hs and GRP and LOCUS","0.0879829919294423"
"254","37","EVENNESS and GRP and LOCUS","0.287297495183646"
"255","37","Ht and GRP and LOCUS","0.0879829919294423"
"256","37","Fis and GRP and LOCUS","0.799778861248532"
"257","37","SHANNON_IDX and GRP and LOCUS","0.0356663390700792"
"258","37","value and variable and LOCUS","0.0492968977018185"
"259","37","hobs and Bay and locus","0.336659875125563"
"260","38","Hs and GRP and LOCUS","0.0252238347771553"
"261","38","EVENNESS and GRP and LOCUS","0.0120324595886251"
"262","38","Ht and GRP and LOCUS","0.0252238347771553"
"263","38","Fis and GRP and LOCUS","0.963063686886233"
"264","38","SHANNON_IDX and GRP and LOCUS","0.0562902801699481"
"265","38","value and variable and LOCUS","0.0492968977018185"
"266","38","hobs and Bay and locus","0.336659875125563"
"267","39","Hs and GRP and LOCUS","0.0540230509075708"
"268","39","EVENNESS and GRP and LOCUS","0.267384881571602"
