"","GRP","LOCUS","N_ALLELES","EVENNESS","Ho","Hs","Ht","Fis","SHANNON_IDX","SIMPSON_IDX","STODD_TAYLOR_IDX"
"56","Jam_6","WF12",3,0.87633503635278,0.7097,0.6124,0.6124,-0.1589,1.00829154351597,0.604058272632674,2.52562417871222
"57","Jam_6","WF16",14,0.660959456502543,0.7419,0.8548,0.8548,0.1321,2.12319246371483,0.829444444444444,5.86319218241042
"58","Jam_6","WF196",17,0.783382825762475,1,0.9151,0.9151,-0.0928,2.54197714895608,0.901664932362123,10.1693121693122
"59","Jam_6","WF22",28,0.882309978442414,0.9677,0.9688,0.9688,0.0011,3.18099753381243,0.953173777315297,21.3555555555556
"60","Jam_6","WF223",19,0.850583291185129,0.9355,0.9473,0.9473,0.0125,2.76640086326966,0.926872770511296,13.6747967479675
"61","Jam_6","WF3",11,0.678909498623121,0.8387,0.8323,0.8323,-0.0078,1.97266297063536,0.807777777777778,5.20231213872832
"62","Jam_6","WF33",24,0.891557112435621,0.9355,0.9656,0.9656,0.0312,3.05071101681747,0.947222222222222,18.9473684210526
"63","Jam_6","WF421",15,0.851122768646398,0.9032,0.9258,0.9258,0.0244,2.47444894939476,0.902497027348395,10.2560975609756
"64","Jam_6","WF517",23,0.869128811210161,0.8387,0.9624,0.9624,0.1285,2.97538100259959,0.941736028537455,17.1632653061224
"65","Mor","A441",8,0.887836458333925,0.4643,0.7573,0.7573,0.3869,1.93344003320717,0.84,6.25
"66","Mor","J42",14,0.550247834047364,0.8214,0.8082,0.8082,-0.0164,2.08006704719108,0.794005102040816,4.85448916408669
"67","Mor","PAM21",6,0.834176657916588,0.4643,0.8062,0.8062,0.4241,1.56349650040579,0.759002770083103,4.14942528735632
"68","Mor","PAM27",10,0.720706218396844,0.6429,0.8307,0.8307,0.2261,1.74280697703317,0.772569444444444,4.3969465648855
"69","Mor","PAM79",25,0.77728708282374,0.9643,0.9491,0.9491,-0.016,2.93089229008101,0.932397959183674,14.7924528301887
"70","Mor","PSY022",7,0.703109802458539,0.75,0.6931,0.6931,-0.0821,1.32177467153296,0.659122085048011,2.93360160965795
"71","Mor","PSY087",4,0.641115225610304,0.6786,0.5251,0.5251,-0.2922,0.985669892441813,0.518494897959184,2.07682119205298
"72","Mor","WF12",3,0.814459091017369,0.5,0.5761,0.5761,0.132,0.952020023966695,0.564413265306122,2.29575402635432
"73","Mor","WF16",13,0.696576853131508,0.8571,0.8519,0.8519,-0.0062,2.12314831196287,0.836734693877551,6.125
"74","Mor","WF196",17,0.721489030388854,0.9643,0.9008,0.9008,-0.0705,2.4642977848048,0.885841836734694,8.75977653631285
"75","Mor","WF22",27,0.885369045091789,1,0.9696,0.9696,-0.0314,3.16981726285914,0.95280612244898,21.1891891891892
"76","Mor","WF223",16,0.855714161354047,0.75,0.9266,0.9266,0.1906,2.54242774747048,0.909262759924386,11.0208333333333
"77","Mor","WF3",10,0.573424323629842,0.7857,0.7381,0.7381,-0.0645,1.72549077496077,0.725765306122449,3.64651162790698
"78","Mor","WF33",24,0.773010976217638,0.9643,0.9484,0.9484,-0.0167,2.92657849422723,0.931760204081633,14.6542056074766
"79","Mor","WF421",13,0.838539600413758,0.8214,0.9107,0.9107,0.098,2.29344812092345,0.881944444444444,8.47058823529412
"80","Mor","WF517",21,0.813182461402049,0.6786,0.9491,0.9491,0.285,2.83594837550662,0.928819444444444,14.0487804878049
