Location	J42	WF22	PAM27	PAM79	WF16	WF33	WF3	WF517	WF196	WF223	WF421	A441	PAM21	Psy087	Psy022	WF12	WF32
Jam	109111	243315	160160	174180	236238	268308	174174	251283	171251	0	280288	182184	215215	157161	243243	256260	0
Jam	125143	207275	174176	150166	236236	320324	168178	267267	167219	251261	320332	180186	211217	156161	243243	260264	221221
Jam	125143	207275	0	182194	250264	288324	168174	253317	175191	237279	268292	180186	215217	161163	235311	256260	213221
pop																	
Shin	117137	183247	174174	154216	244260	288344	168170	251275	167243	261273	292296	184188	211219	156161	235243	260260	251283
Shin	111117	215227	174178	182208	234236	300340	172174	247279	187191	257267	296300	182182	211217	161161	235235	260260	215215
Shin	117135	183187	174178	202204	236238	284364	158168	245281	191195	259259	284288	194196	217219	155161	243243	256260	215291
Shin	141143	179231	176178	144182	234236	300336	166168	241291	191195	255265	284308	180188	217219	161161	243243	256260	217285
Shin	131133	207267	166174	182186	230234	300328	174194	261267	187215	257283	288328	180186	215219	155161	235243	256260	217217
Shin	117117	211319	160160	184186	238238	312312	168168	263287	183195	255257	300308	178182	211215	161161	243243	256260	211215
Shin	117117	211259	174176	180190	240256	280320	164176	245295	187187	261285	280296	182186	211217	161161	235243	256260	213213
Shin	117139	195195	160174	182212	236236	280344	166170	215275	167243	259267	252280	184192	213219	161161	235235	256260	217217
Shin	117117	231255	156176	154184	234258	316324	156174	279287	187215	251275	280292	178184	215217	161161	243243	256260	213215
Shin	119119	187271	160174	168220	236236	340352	168168	243263	187215	255269	280296	188190	213219	161161	243243	256260	221221
Shin	117139	243243	174178	156186	236236	300328	158168	261287	159215	255271	284308	184188	211211	161161	235243	260260	221289
Shin	119125	247247	160188	164220	234236	252276	168168	0	191211	257275	284300	184188	211215	161163	235243	260264	215217
Shin	117117	191247	160174	180208	236236	272328	168178	215275	191207	0	272288	182188	211215	161161	243335	256260	291291
Shin	115115	195227	174174	188190	236238	328340	162168	263263	167195	257269	272280	180188	217219	161163	0	256260	291291
Shin	121133	0	174182	180208	234236	320340	158162	215251	187195	251273	276288	184194	219219	161161	235243	256260	221253
Shin	125133	179183	166166	154198	236256	316352	166168	259289	171191	269277	288300	180186	211211	156161	0	256260	251251
Shin	125139	203259	160174	180222	236240	320356	172174	263263	167191	241267	272308	182188	213219	161161	0	260260	211291
Shin	117117	247251	174174	180186	238238	296296	166168	263263	159203	255265	288296	186196	215215	161161	0	256260	251251
Shin	117121	235255	160174	144144	236238	312324	170174	217251	187223	259269	280308	180188	211211	161163	0	260260	217221
Shin	123137	195263	176182	180192	240250	256320	168176	271289	0	269275	304312	188190	211215	161161	251259	264264	215215
Shin	115133	183191	0	186208	234236	312328	162172	283301	159167	269277	280280	182226	217217	161161	235243	256264	213217
Shin	119145	231247	174176	166166	254258	264280	162176	265279	203203	269285	288292	180180	211211	157161	0	260260	211249
Shin	119139	187187	174174	150156	236286	300356	158168	263275	159195	267269	288300	184188	215219	161161	0	256264	215221
Shin	117147	195223	162174	144182	236240	288328	158168	259279	167187	265329	288292	178196	211215	161163	0	256260	215249
Shin	109135	183195	160174	182182	236260	312340	156174	247301	179211	275279	276304	182184	211211	161161	0	260260	217251
Shin	119125	207283	152164	168170	236240	320332	168174	251263	163195	237257	0	188188	211215	156161	235243	260264	217249
Shin	117119	191207	174178	180188	236250	252320	166176	257271	187187	269275	284292	188188	213225	156161	235243	260264	217291
Shin	117125	183215	174176	180216	264280	272320	156168	283301	187195	269277	268292	182182	215217	161161	235243	256260	221291
Shin	119127	179247	174176	164216	236238	316364	168168	263299	167191	271277	268292	180186	211213	161161	0	260264	215249
Shin	117139	179247	176176	144154	238250	268324	168168	271305	167187	261269	276300	182188	0	156161	227235	256260	251291
Shin	113117	243247	176178	166210	236238	316316	172174	247263	187243	285285	280304	188190	211213	161161	235243	256260	217217
Shin	117143	191231	160166	170184	236238	332348	168178	0	159171	255273	268280	180182	219219	155161	227235	256260	217217
pop																	
Mt	115153	195243	162164	192208	0	320336	162162	255291	163199	245283	280292	182188	211217	156161	243319	256260	217217
Mt	117137	219267	160166	184208	238240	320360	166168	247279	195223	261289	280292	180188	215217	161161	243243	260264	215283
Mt	121121	227251	174180	172182	240286	280340	168170	247275	167199	261289	284300	188190	213215	156161	235243	256260	0
Mt	111137	183243	160160	160182	236236	320348	164172	215219	167183	261261	284292	182184	217219	156161	235267	256260	217283
Mt	117121	171179	158174	194260	238258	320384	164166	243283	159179	265273	284312	176196	217217	156161	235243	256256	215215
Mt	117117	227231	176178	178182	236242	280328	156168	245271	159167	259267	288300	178188	217217	156161	235235	256260	215291
Mt	117119	227255	166182	154178	234236	320340	0	261269	187195	269275	280284	182188	211219	161161	235243	256260	217221
Mt	125143	231247	160206	178214	238260	340364	168172	255283	167183	265275	272320	186196	193217	156161	235235	256260	181283
Mt	117121	231243	166174	182216	236250	288300	166168	239281	191191	261265	280292	184190	217221	161161	235243	260260	215291
Mt	139148	155259	178202	202240	236236	284296	168174	247255	163223	267281	276292	186190	209227	155161	235243	256260	217251
Mt	109123	211243	160188	178180	236238	268336	168168	279283	191211	263281	236288	182190	211211	155161	235243	260260	211283
Mt	117161	235263	174180	178216	236238	340348	170174	291291	187243	259269	292332	182182	213217	161161	243243	256256	217217
Mt	119133	207223	174176	180182	238258	264340	168172	271299	167199	267269	280292	188188	213219	161161	235235	260264	217217
Mt	117119	251267	178188	172184	234238	316328	168174	235275	187187	259259	288304	178186	213217	161161	243243	260264	211217
Mt	125139	171259	160174	168190	236240	248320	168172	235275	167191	277289	284292	180190	211217	156161	243243	256260	177217
Mt	119121	247263	160178	158220	236238	248308	156166	287287	167187	257279	292296	182190	211225	156161	235243	256260	215215
Mt	117137	199243	160208	144180	236250	260272	156170	247255	167167	255269	280296	186190	211219	161161	235243	260260	177251
Mt	139143	183183	174178	206212	236236	248360	162174	271283	171195	257269	280296	188192	215217	163165	235243	260260	221221
Mt	111121	183223	174210	148184	224238	268296	156170	245299	159195	259269	280304	184188	211213	156161	243267	260264	249249
Mt	125125	255259	178182	150168	236260	252320	172178	247283	167171	277281	256288	184188	215217	156161	235243	256260	217251
Mt	121125	223227	174188	190208	238240	252328	166178	291291	159191	261281	292304	182188	211219	156161	243243	256264	213213
Mt	117119	223271	174178	174184	240258	340340	162164	247247	191235	269297	280280	180184	211215	161161	235243	256260	221221
Mt	129139	195247	176178	148158	236236	280328	168172	247291	183199	261273	276280	180182	217219	156161	243243	260264	217217
Mt	119125	251267	174188	210220	234236	284292	166168	251263	167191	253285	280296	190196	219229	156161	227235	256264	215291
Mt	119135	183255	166174	156210	234238	320328	168172	219263	159183	259263	272296	180182	219219	156161	243243	260260	221221
Mt	111111	195251	166178	174192	234240	340352	168168	251295	175199	265281	268296	180188	211215	155161	235243	260260	215217
Mt	117117	227255	160174	182182	272286	276336	168168	247283	199247	269275	248260	182182	211215	156161	243243	260264	213221
Mt	115131	159215	160160	182208	234250	280348	168168	287289	191247	267285	260292	182232	217217	155161	235243	256264	249291
Mt	117143	207267	176178	148178	236250	272316	168172	247283	167187	255263	280292	178186	213219	161161	235243	256260	213221
Mt	117147	207247	166174	186188	238240	288316	168168	219287	183199	245271	280296	182190	211211	156161	0	264264	215217
Mt	109121	219263	178180	178188	236238	276316	166168	281281	159195	255261	292300	182196	211211	161161	235243	260260	221223
Mt	109135	239267	160174	182184	230238	280344	170178	245277	167195	261269	260284	188190	213215	156161	243243	0	215221
Mt	135139	215247	160162	158220	0	280284	164174	221263	159167	269271	280320	178182	211215	157161	227235	256260	215251
Mt	119143	175191	174176	182190	234260	264360	162178	243287	171195	0	288296	186226	211211	156161	235235	256256	283283
