wfgenepop_20_Sept2020,,,,,,,,,,,,,,,,,,,,
J42,,"WF22,","PAM27,","PAM79,","WF27,","WF16,","WF33,","WF3,","WF517,","WF196,","WF223,","WF421,","A441,","PAM21,","Psy087,","Psy022,","WF06,","WF12,","WF01,",WF32
"118,",117139,223227,178182,192194,317353,236250,324360,174174,215247,183191,255257,280280,182182,0,155161,235243,244244,260260,0,217217
"119,",117145,0,166174,178204,309333,238252,316340,168168,263275,223251,245277,0,182182,217219,155161,235243,248260,256260,270278,219219
"120,",131133,207267,166174,182186,297321,230234,300328,174194,261267,187215,257283,288328,180186,215219,155161,235243,256256,256260,270290,217217
"121,",117117,0,160160,174214,285325,230234,292332,168178,279287,191195,231245,252280,184186,219219,161161,235243,244256,260260,0,215283
"122,",125139,295311,178178,168182,265365,234236,272372,0,251251,163175,263265,0,0,0,161163,0,256260,256256,0,213219
"123,",0,207267,0,0,0,0,0,0,0,0,0,0,0,211235,0,0,0,0,0,0
"124,",117157,259315,160180,182198,245277,236236,252284,168188,261271,191191,0,272304,188188,211215,161163,235243,256256,256260,0,217217
"125,",117117,211319,160160,184186,0,238238,312312,168168,263287,183195,255257,300308,178182,211215,161161,243243,256256,256260,0,211215
"126,",117117,207235,0,186188,317317,236250,324324,158174,243267,0,0,284296,184190,215225,161163,0,256256,0,0,221283
"127,",143147,191247,160178,154188,301345,238264,308352,168170,247275,183191,263275,300300,182184,217217,161161,0,256256,264264,274274,215217
"128,",119125,247255,0,168184,313321,236238,320328,164168,243261,0,0,276288,182182,0,156161,0,0,0,0,217221
"129,",117119,207215,160174,158190,265325,236258,268332,168176,243245,167167,273273,272280,180182,0,161161,243247,248248,260264,0,215217
"130,",131139,219235,174178,186212,309357,232250,0,168172,219287,159191,269275,0,178196,0,156161,235319,256256,260260,306306,213215
"131,",109115,207211,176188,180188,309313,236238,304316,168168,245313,187223,0,0,184188,211211,161163,243243,256260,264268,258270,215215
"132,",111125,227247,160160,170210,321325,236236,328332,162168,245249,171187,0,296296,0,211215,161161,235243,256256,260260,250282,217221
"133,",119137,223227,0,0,0,234236,0,0,0,0,0,0,180188,0,0,0,0,0,0,217221
"134,",117117,211259,174176,180190,273313,240256,280320,164176,245295,187187,261285,280296,182186,211217,161161,235243,256256,256260,266266,213213
"135,",127127,163199,160206,174188,0,240276,0,158168,265265,183199,257261,280296,186200,219225,156161,243243,260260,256260,0,215251
"136,",117139,195195,160174,182212,273337,236236,280344,166170,215275,167243,259267,252280,184192,213219,161161,235235,256256,256260,0,217217
"137,",111125,211295,160178,150182,333337,234238,340344,172172,265265,167235,253267,0,178186,215217,161163,0,264268,260264,270286,221221
"138,",131137,175179,0,166170,0,0,0,168168,0,0,267273,0,188202,211215,0,0,0,0,0,0
"140,",117157,191199,172174,188204,305337,236240,312344,168172,275279,163167,259279,0,182182,217219,161161,243243,244244,260260,0,217217
"141,",117139,223227,0,156178,0,256258,0,168168,0,0,0,0,182190,211215,0,0,0,0,0,217291
"142,",121133,191199,0,0,0,236240,0,168168,0,0,0,260296,186188,213217,0,0,0,0,0,217217
"143,",117129,247251,174182,190192,309329,236240,316336,168168,215251,0,269273,280288,184188,0,161161,235243,252260,260260,0,217217
"145,",139157,243303,162174,178214,289313,228240,296320,168176,243287,187195,265293,288296,184200,209211,161161,0,256256,256260,290290,213215
"146,",127131,247287,160176,162186,305325,236252,312332,168174,271281,159231,253273,296300,180188,215219,156161,0,260260,260264,270290,221291
"147,",109117,231231,160184,154212,297325,238260,304332,168168,221259,183191,255261,284296,182188,0,161161,235243,256260,256256,0,215283
"148,",119121,251283,174178,192210,309313,236236,316320,158168,267275,187251,253261,0,184198,211211,156161,0,256256,256256,0,215249
"149,",117119,239255,174182,182194,261261,236238,268292,168168,269287,183187,261267,268280,180182,217219,161161,0,260268,0,0,213217
"150,",115117,195227,0,142186,313341,226236,320348,166174,261265,171183,0,280300,188196,211211,0,0,0,0,0,0
"151,",117143,231311,174176,210212,301345,236238,308352,168170,283307,0,241269,292292,186188,0,161161,0,256256,260264,0,213217
"152,",117117,231255,156176,154184,309317,234258,316324,156174,279287,187215,251275,280292,178184,215217,161161,243243,248256,256260,242258,213215
"153,",109139,259287,160182,214214,321345,240260,328352,166174,267275,183191,255255,280288,182188,211219,0,0,0,260260,250294,217291
"154,",117131,179187,174174,154186,245317,238238,252324,168168,243247,171195,263265,252284,186190,0,0,243247,260260,256264,246246,215217
"155,",119119,187271,160174,168220,333345,236236,340352,168168,243263,187215,255269,280296,188190,213219,161161,243243,256260,256260,246246,221221
"156,",117121,211247,0,158158,265329,234240,272336,166178,263299,167187,261267,280296,184188,211215,161161,235235,256256,0,278286,181215
"157,",117139,243243,174178,156186,293321,236236,300328,158168,261287,159215,255271,284308,184188,211211,161161,235243,244244,260260,246250,221289
"158,",117139,0,0,158188,305309,238286,312316,162174,247255,171187,257285,296324,178186,215215,0,0,0,0,0,251285
"159,",131143,199243,0,166166,265365,0,0,158164,0,163163,0,0,182186,0,0,0,260260,0,0,217283
"160,",135143,215235,0,188208,317349,234262,0,168174,0,0,0,288304,186188,217225,156163,0,0,256280,286286,283291
"161,",117127,175247,0,192214,273317,234240,0,168168,0,0,0,288292,0,0,161161,0,0,0,0,221221
"162,",117123,247251,0,178190,277289,246250,284296,164172,215261,179199,259277,0,184188,215217,156161,243243,260264,260260,266278,215221
"163,",111111,203251,160166,0,313317,236236,316324,168168,261291,195207,275275,280288,182188,0,161161,235235,256256,256260,0,215221
"164,",109111,183223,174174,156156,309325,236236,316332,156166,243299,159251,237261,0,182182,211219,156161,235235,244244,260260,270282,215249
"165,",117141,251259,174178,182214,0,236260,0,164170,215287,0,261273,0,0,217219,161161,235243,256260,260260,290306,213221
"166,",111133,203259,160164,172176,265325,238238,268332,168172,215269,0,271293,284292,182186,0,155161,0,260260,260260,238270,215215
"167,",119125,247247,160188,164220,245269,234236,252276,168168,0,191211,257275,284300,184188,211215,161163,235243,0,260264,286290,215217
"168,",121135,227227,178210,158180,325357,234236,332364,0,243271,183191,0,0,182182,211211,156161,0,260260,256260,0,213251
"169,",117117,191247,160174,180208,265321,236236,272328,168178,215275,191207,0,272288,182188,211215,161161,243335,260260,256260,0,291291
"170,",115115,195227,174174,188190,321333,236238,328340,162168,263263,167195,257269,272280,180188,217219,161163,0,252260,256260,266274,291291
"171,",121133,0,174182,180208,313333,234236,320340,158162,215251,187195,251273,276288,184194,219219,161161,235243,244260,256260,0,221253
"172,",117121,255259,160178,182182,305361,238240,312368,168178,283299,159183,0,296304,0,0,161163,235267,256256,256260,266306,0
"S1,",117117,243251,0,182182,297333,236246,300340,168176,267271,167167,269277,0,186192,215217,161161,235335,0,256256,0,217217
"S100,",117119,219259,174178,166190,289365,236238,296372,168174,0,171191,255275,288316,180190,211217,161163,243243,260264,256256,274282,217217
