"","locus","Bay","mean.hexp","sd.hexp","mean.hobs","sd.hobs","mean.hexhobs","sd.hexhobs"
"44","WF16","Nap",0.821005917159763,0,0.846153846153846,0,-0.0251479289940828,0
"45","WF16","Shin",0.827015532544379,0,0.817307692307692,0,0.00970784023668636,0
"46","WF196","Jam",0.901664932362123,0,1,0,-0.0983350676378772,0
"47","WF196","Mor",0.879340277777778,0,1,0,-0.120659722222222,0
"48","WF196","Mt",0.914197664359862,0,0.889705882352941,0,0.0244917820069205,0
"49","WF196","Nap",0.890625,0,0.916666666666667,0,-0.0260416666666666,0
"50","WF196","Shin",0.903754340277778,0,0.90625,0,-0.00249565972222221,0
"51","WF22","Jam",0.953173777315297,0,0.967741935483871,0,-0.0145681581685744,0
"52","WF22","Mor",0.950520833333333,0,1,0,-0.0494791666666666,0
"53","WF22","Mt",0.954969252132513,0,0.950704225352113,0,0.00426502678040075,0
"54","WF22","Nap",0.950443786982249,0,0.961538461538462,0,-0.011094674556213,0
"55","WF22","Shin",0.951034212332124,0,0.930693069306931,0,0.0203411430251935,0
"56","WF223","Jam",0.926872770511296,0,1,0,-0.073127229488704,0
"57","WF223","Mor",0.90702479338843,0,0.909090909090909,0,-0.00206611570247928,0
"58","WF223","Mt",0.936600431210302,0,0.938931297709924,0,-0.00233086649962122,0
"59","WF223","Nap",0.9336,0,0.88,0,0.0536,0
"60","WF223","Shin",0.937275985663082,0,0.935483870967742,0,0.00179211469534057,0
"61","WF3","Jam",0.807777777777778,0,0.866666666666667,0,-0.0588888888888889,0
"62","WF3","Mor",0.731770833333333,0,0.791666666666667,0,-0.0598958333333334,0
"63","WF3","Mt",0.759369422962522,0,0.772357723577236,0,-0.0129883006147135,0
"64","WF3","Nap",0.763705103969754,0,0.782608695652174,0,-0.0189035916824197,0
"65","WF3","Shin",0.739780413684933,0,0.732673267326733,0,0.0071071463582002,0
"66","WF32","Jam",0.859504132231405,0,0.863636363636364,0,-0.00413223140495866,0
"67","WF32","Mor",0.734375,0,0.5,0,0.234375,0
"68","WF32","Mt",0.842441975798453,0,0.633802816901408,0,0.208639158897044,0
"69","WF32","Nap",0.867768595041322,0,0.909090909090909,0,-0.0413223140495868,0
"70","WF32","Shin",0.83814035818409,0,0.612244897959184,0,0.225895460224906,0
"71","WF33","Jam",0.947222222222222,0,0.966666666666667,0,-0.0194444444444445,0
"72","WF33","Mor",0.933159722222222,0,0.958333333333333,0,-0.0251736111111112,0
"73","WF33","Mt",0.947517146776406,0,0.955555555555556,0,-0.00803840877914952,0
"74","WF33","Nap",0.936390532544379,0,0.884615384615385,0,0.0517751479289941,0
"75","WF33","Shin",0.950249307479224,0,0.968421052631579,0,-0.0181717451523545,0
"76","WF421","Jam",0.902497027348395,0,0.96551724137931,0,-0.0630202140309156,0
