"","GRP","variable","meanvar","sdvar"
"86","Nap","Ht",0.845770588235294,0.130006508321247
"87","Nap","N_ALLELES",14.0588235294118,7.3354497837155
"88","Nap","SHANNON_IDX",2.19203572115326,0.690876105519342
"89","Nap","SIMPSON_IDX",0.825730078748341,0.126750736687119
"90","Nap","STODD_TAYLOR_IDX",9.14953377707121,6.05585573386744
"91","Shin","EVENNESS",0.725181367206794,0.126924232042549
"92","Shin","Fis",0.0216764705882353,0.0820498516864272
"93","Shin","Ho",0.787811764705882,0.149664733163632
"94","Shin","Hs",0.811435294117647,0.161280117114512
"95","Shin","Ht",0.811435294117647,0.161280117114512
"96","Shin","N_ALLELES",16.8235294117647,8.96685071609346
"97","Shin","SHANNON_IDX",2.1836923668402,0.772027661089539
"98","Shin","SIMPSON_IDX",0.802608650816893,0.159417434356979
