"","GRP","LOCUS","N_ALLELES","EVENNESS","Ho","Hs","Ht","Fis","SHANNON_IDX","SIMPSON_IDX","STODD_TAYLOR_IDX"
"46","Mor","A441",8,0.844394006011164,0.9231,0.8558,0.8558,-0.0787,1.88710681425654,0.825443786982249,5.72881355932203
"47","Mor","PAM21",6,0.834176657916588,0.6842,0.7822,0.7822,0.1252,1.56349650040579,0.759002770083103,4.14942528735632
"48","Mor","PSY087",4,0.651203982635125,0.7083,0.5453,0.5453,-0.299,1.02366970509272,0.537326388888889,2.16135084427767
"49","Mor","PSY022",7,0.694990001955528,0.8261,0.6621,0.6621,-0.2478,1.30472356612887,0.651228733459357,2.86720867208672
"50","Mor","WF12",3,0.748569221501958,0.4583,0.5326,0.5326,0.1395,0.89486440948072,0.519965277777778,2.08318264014467
"51","Mor","WF32",6,0.782836819498916,0.5,0.8036,0.8036,0.3778,1.51108617607361,0.734375,3.76470588235294
"52","Mt","J42",19,0.632530872614063,0.9459,0.893,0.893,-0.0593,2.54780766910139,0.881665449233017,8.45061728395062
"53","Mt","WF22",28,0.875853396783819,0.9459,0.9655,0.9655,0.0202,3.16638471720341,0.952154857560263,20.9007633587786
"54","Mt","PAM27",14,0.686448095008801,0.8,0.8412,0.8412,0.049,2.08456292796727,0.828571428571429,5.83333333333333
"55","Mt","PAM79",30,0.815377924281605,0.9714,0.9639,0.9639,-0.0078,3.19468987509634,0.950204081632653,20.0819672131148
"56","Mt","WF16",13,0.658150541078798,0.9167,0.825,0.825,-0.1111,2.03932249876049,0.814814814814815,5.4
"57","Mt","WF33",28,0.832291727601056,0.9429,0.9618,0.9618,0.0197,3.12658479236036,0.947755102040816,19.140625
"58","Mt","WF3",10,0.555348503074041,0.7568,0.7376,0.7376,-0.026,1.76080139487966,0.727903579254931,3.6751677852349
"59","Mt","WF517",26,0.847081863765373,0.9143,0.9597,0.9597,0.0473,3.06356258346643,0.94530612244898,18.2835820895522
"60","Mt","WF196",17,0.76097299789819,0.8378,0.908,0.908,0.0773,2.49971610285637,0.89481373265157,9.50694444444444
"61","Mt","WF223",17,0.829498807629348,0.9697,0.9238,0.9238,-0.0497,2.58471337992558,0.910468319559229,11.1692307692308
"62","Mt","WF421",15,0.788203351114116,1,0.91,0.91,-0.0989,2.45575590410127,0.8936,9.3984962406015
"63","Mt","A441",12,0.835042594841263,0.8857,0.884,0.884,-0.0019,2.21010626086997,0.871428571428571,7.77777777777778
"64","Mt","PAM21",10,0.829909810802383,0.7429,0.8374,0.8374,0.1129,1.8937946728409,0.824081632653061,5.68445475638051
"65","Mt","PSY087",6,0.592462043679997,0.7027,0.5559,0.5559,-0.264,1.12047362677236,0.550401753104456,2.22420796100731
"66","Mt","PSY022",6,0.694436740168436,0.5758,0.5374,0.5374,-0.0714,0.964254079634468,0.529843893480257,2.126953125
"67","Mt","WF12",4,0.802682733218983,0.6389,0.5984,0.5984,-0.0676,1.02879567962134,0.590663580246914,2.44297832233742
"68","Mt","WF32",16,0.702728448318671,0.6216,0.8776,0.8776,0.2917,2.29372942423157,0.862308254200146,7.26259946949602
"69","Nap","J42",14,0.648506737886657,0.9615,0.8654,0.8654,-0.1111,2.28021021039032,0.850591715976331,6.69306930693069
"70","Nap","WF22",26,0.884841593185679,0.9615,0.9692,0.9692,0.0079,3.12127111733354,0.950443786982249,20.1791044776119
"71","Nap","PAM27",12,0.797448273331124,0.76,0.8808,0.8808,0.1372,2.16958152043818,0.8608,7.18390804597701
"72","Nap","PAM79",28,0.867479090362591,1,0.9708,0.9708,-0.0301,3.18632810580237,0.952662721893491,21.125
